"","mod1","mod3","ratio"
"mimicry.x",6.40803824317224e-06,4.0352648977488e-06,1.58796996195984
"drill.x",3.21275892136198e-05,1.50859641519597e-05,2.1296203496156
"experiential.learning.model.x",8.21166401084537e-05,3.267728832816e-05,2.51294991153528
"reflective.observation.x",3.91674401403607e-05,1.55089439699378e-05,2.52545806281042
"transformation.x",6.74649270123159e-05,3.12573181657543e-05,2.1583653088223
"abstract.conceptualization.x",4.27457083599136e-05,2.42021138189315e-05,1.76619001384398
"taxonomy.of.learning.domains.x",1.41181873106227e-05,5.1336152023957e-06,2.75009164981226
"task.based.learning.framework.x",0,0,0
"interactional.view.of.language.x",5.59453078670292e-06,2.11945233351702e-06,2.6394869795075
"communicative.view.of.language.x",7.17643259535685e-06,2.92086784825507e-06,2.45686805475928
"learner.centered.instruction.x",0,0,0
"social.context.x",6.21431451348717e-05,6.43067214103119e-05,0.966353860632688
"computer.assisted.language.learning.x",0,1.19846597520538e-05,0
"real.world.or.target.task.x",0,0,0
"pedagogical.tasks.x",2.96657734102518e-05,0,296657.734102518
"rehearsal.tasks.x",5.59259093552861e-06,0,55925.9093552861
"activation.tasks.x",5.59259093552861e-06,0,55925.9093552861
"enabling.skills.x",0,0,0
"scaffolding.x",7.16791264205113e-05,5.74652442517185e-05,1.24734528878016
"interactivity.x",1.28160764863445e-05,5.3491525605056e-06,2.39586303719657
"interpersonality.x",0,0,0
"teachers.roles.x",3.68025645110972e-05,4.30704338574955e-06,8.54454129223113
"knowledge.base.x",3.88183688521408e-06,7.6100821600482e-06,0.510084621310759
"engaged.learning.x",0,0,0
"students.roles.x",9.83927543575691e-06,2.43310186424265e-06,4.04375632796889
"power.relationship.x",0,0,0
"coercive.relationship.x",0,0,0
"referent.relationship.x",0,0,0
"reward.based.relationship.x",0,0,0
"interactional.competence.x",0,0,0
"phantom.x",0,0,0
"authentic.Materials.x",0,0,0
"instructional.materials.x",6.22983092238877e-06,9.51303560364497e-06,0.654866195747467
"decoding.x",0,3.04077241409827e-05,0
"inferring.x",6.40803824317224e-06,1.48399977245862e-05,0.431805663419304
"critical.reading.x",0,1.10884722470742e-05,0
"top.bottom.approach.x",0,0,0
"bottom.up.approach.x",0,0,0
"interactive.approach.x",1.61844577843467e-05,2.25978069717178e-05,0.716192778587955
"schema.theory.x",0,6.59080781501738e-05,0
"content.schema.x",0,2.7750136662045e-05,0
"calla.x",0,1.40167336767628e-05,0
"cognitive.academic.language.learning.approach.x",0,6.42169252672959e-06,0
"content.based.approach.x",4.09158606242124e-06,1.91000441211019e-06,2.1420745570139
"literacy.transfer.x",0,2.11917386126193e-06,0
"phonics.instruction.x",0,0,0
"sheltered.instruction.x",0,1.23031076431012e-05,0
"after.reading.phase.x",0,0,0
"before.reading.phase.x",0,0,0
"discourse.markers.x",9.95619275189168e-06,0,99561.9275189168
"during.reading.phase.x",0,0,0
"reading.assessment.x",0,1.26238395637908e-05,0
"skimming.x",0,4.5549259021708e-05,0
"scanning.x",0,6.16865433936606e-05,0
"sq3r.sequence.x",0,0,0
"strategies.for.reading.comprehension.x",0,0,0
"collocations.x",8.18109675783135e-06,3.03669713354954e-05,0.269406840964233
"register.x",3.66820512535635e-05,5.6899745403372e-05,0.64467752053663
"word.x",0.000297783957533397,0.000632159149204889,0.471058452293375
"word.parts.x",0,7.83212966223617e-06,0
"affix.x",0,0,0
"suffix.x",0,2.6745762802528e-06,0
"prefix.x",0,4.30673902646455e-06,0
"context.x",0.00144754815481493,0.00111643636096236,1.29657907586353
"global.clue.x",0,0,0
"linguistic.clue.x",0,0,0
"local.clue.x",0,0,0
"difficulty.level.x",5.23925036805734e-06,2.28683287367993e-06,2.29095065638145
"reading.lab.x",0,0,0
"readable.material.x",0,0,0
"collaborative.learning.x",2.14924581482467e-05,3.25340743669812e-05,0.660611758756027
"netiquette.x",0,2.49077789484434e-06,0
"flesch.kincaid.x",0,0,0
"readability.score.x",0,8.75504799892293e-06,0
"micro.and.macroskills.for.writing.x",0,0,0
"syllabus.x",0.00023873297250304,0.000201854861961828,1.18269558589392
"controlled.writing.x",0,1.515400757853e-05,0
"real.wriging.x",0,0,0
"feedback.x",0.000228067754289635,0.000606678715442852,0.375928330583217
"rubric.x",4.10562423264294e-05,0.00037697431695618,0.108909890113848
"CALL.x",0,0,0
"receptive.skill.x",0,1.70074299612472e-05,0
"background.knowledge.x",1.09597796314248e-05,7.2622254024503e-05,0.150914684309558
"chunking.x",0,2.11903465257367e-06,0
"clustering.x",0,2.29562087362148e-06,0
"colloquial.language.x",0,2.29578425137919e-06,0
"back.channeling.x",0,0,0
"casual.style.x",0,0,0
"formal.style.x",0,2.11917386126193e-06,0
"conversational.analysis.1.x",6.14579799499486e-09,0,61.4579799499486
"corpus.analysis.x",0,0,0
"discourse.analysis.1.x",6.14579799499486e-09,0,61.4579799499486
"fillers.x",0,4.99595128890714e-06,0
"fixed.phrases.x",0,4.99636249271691e-06,0
"gaze.x",6.352513689667e-06,2.6745762802528e-06,2.37505889462877
"hesitation.markers.x",0,3.12426774974615e-06,0
"interactional.talk.x",0,0,0
"moves.x",1.03191763990217e-05,2.02692247106052e-05,0.509103117462149
"routines.x",0.000153880737973522,6.61690332767547e-05,2.32556677642898
"slips.x",0,4.30160608551361e-06,0
"idea.unit.x",0,0,0
"transactional.talk.x",0,0,0
"stylistic.variation.x",0,1.87209474297075e-06,0
"turns.x",5.28834172296212e-05,4.74072650238223e-05,1.11551057948585
"accuracy.x",0.000154684649865737,0.000202891357113628,0.7624010003492
"connected.discourse.x",0,0,0
"content.words.x",0,0,0
"falling.intonation.x",0,1.06991922109881e-05,0
"use.x",0.00349117254967139,0.00353933047766164,0.986393464262933
"fluency.x",0.000139645312899279,0.000260310871595688,0.536455732323778
"function.words.x",0,0,0
"intelligibility.x",0,8.0237288407584e-06,0
"intonation.contours.x",0,0,0
"language.oriented.approaches.x",0,0,0
"lexical.stress.x",0,0,0
"message.oriented.approaches.x",0,0,0
"native.like.x",0,4.87248552981175e-06,0
"norm.x",6.22862802010601e-06,8.88027213247388e-06,0.70139268120635
"pitch.x",4.22281247756631e-06,1.14180624207756e-05,0.369832931250198
"plateau.x",0,3.49718826063845e-06,0
"reduction.x",0,3.95901626363881e-06,0
"rhythm.x",6.27441233152463e-05,2.75979835165603e-05,2.27349566782768
"rising.intonation.x",0,2.29578425137919e-06,0
"segmental.x",0,2.55833646729551e-06,0
"stress.x",2.64122607409287e-05,7.10454098896826e-05,0.371765376614805
"suprasegmental.x",0,0,0
"unaccented.x",0,0,0
"usage.x",3.59366387265932e-05,0.000118831045034763,0.30241767607373
"intercultural.competence.1.x",0,3.51248675449447e-08,0
"decentering.x",0,0,0
"native.speaker.model.of.language.learning.x",0,3.51050870781685e-06,0
"ethnocentrism.x",0,2.34589721296093e-05,0
"formative.testing.x",0,0,0
"summative.testing.x",0,2.43310186424265e-06,0
"norm.based.testing.x",0,0,0
"criterion.based.testing.x",0,0,0
"validity.x",0,0.000133650382922219,0
"sqrt_word_count.x",72.4608836096952,116.077832312688,0.624243941896151
"normalized_word_proportion.x",16.6691447647632,17.6715116657274,0.943277806674426
